BOT	DISCOUNT	CATEGORY	URL
BOT1	10	TABLET	https://www.hepsiburada.com/tablet-c-3008012
BOT1	10	GPU	https://www.hepsiburada.com/msi-asus-gigabyte-sapphire-pny-inno3d-xfx-quadro-palit-zotac-powercolor-galax-amd/ekran-kartlari-c-204
BOT1	10	CPU	https://www.hepsiburada.com/islemciler-c-46
BOT1	10	NB_LENOVO	https://www.hepsiburada.com/lenovo/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT1	10	NB_OTHERS	https://www.hepsiburada.com/asus-hp-dell-msi-acer-xiaomi/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT1	10	NB_APPLE	https://www.hepsiburada.com/apple/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT2	10	DSLR	https://www.hepsiburada.com/sony-canon-fujifilm-olympus-nikon-panasonic/aynasiz-kompakt-slr-makineler-c-60002029
BOT2	10	GAMING_NOTEBOOKS	https://www.hepsiburada.com/oyuncu-laptoplari-c-95583
BOT2	10	INEAR_HEADPHONES	https://www.hepsiburada.com/sennheiser-sony-bose-1more-bangolufsen-klipsch-huawei-samsung-focal-fiio-jabra-xiaomi-jbl/kulak-ici-kulakliklar-c-60004547
BOT2	10	OVEREAR_HEADPHONES	https://www.hepsiburada.com/sony-philips-sennheiser-steelseries-bose-logitech-monster-shure-bangolufsen-corsair-asus-koss-hyperx-anker-akg-razer/kulak-ustu-kulakliklar-c-60004548
BOT2	10	MONITOR	https://www.hepsiburada.com/monitorler-c-57
BOT2	10	BT_HEADPHONES	https://www.hepsiburada.com/samsung-apple-anker-beats-akg-sennheiser-jabra-philips-jbl-sony-klipsch-bose-audiotechnica-bangolufsen-bowerswilkins/bluetooth-kulakliklar-c-16218
BOT3	10	TELEVISION	https://www.hepsiburada.com/led-tv-televizyonlar-c-163192
BOT3	10	SOUNDBAR	https://www.hepsiburada.com/lg-samsung-bose-sony-harmankardon3-denon-klipsch-jbl-polkaudio-sonos-sennheiser-polk-yamaha-bowerswilkins-anker/soundbar-c-60008218
BOT3	10	IOS_PHONES	https://www.hepsiburada.com/apple/iphone-ios-telefonlar-c-60005202
BOT3	10	ANDROID_PHONES	https://www.hepsiburada.com/android-telefonlar-c-60005201
BOT3	10	REFRIGERATORS	https://www.hepsiburada.com/buzdolaplari-c-22154
BOT3	10	WASHING_MACHINES	https://www.hepsiburada.com/camasir-makineleri-c-155121
BOT4	10	WATER_DISPENSER	https://www.hepsiburada.com/su-sebilleri-c-236214
BOT4	10	DISHWASHERS	https://www.hepsiburada.com/bulasik-makineleri-c-22156
