BOT	DISCOUNT	CATEGORY	URL
BOT1	30	AMFI	https://www.hepsiburada.com/pioneer-sony-alpine-hertz-kenwood-jameson/oto-amfileri-c-26050
BOT2	25	DSLR	https://www.hepsiburada.com/sony-canon-fujifilm-olympus-nikon-panasonic-samsung/aynasiz-kompakt-slr-makineler-c-60002029
BOT1	30	TANKLI_YAZICI	https://www.hepsiburada.com/tankli-yazici-c-80194056
BOT1	25	KURUTMA_MAKINESI	https://www.hepsiburada.com/kurutma-makineleri-c-153223
BOT1	30	MUREKKEP_PUSKURTMELI	https://www.hepsiburada.com/murekkep-puskurtmeli-yazicilar-c-4
BOT1	35	SANZUMAN_YAGI	https://www.hepsiburada.com/araba-sanziman-yagi-c-60008458
BOT1	35	MOTO_PABUC	https://www.hepsiburada.com/alpinestars-tcx-dainese/motosiklet-ayakkabilari-c-60005665
BOT1	25	FRITOZ	https://www.hepsiburada.com/fritozler-c-22017
BOT1	25	AKU	https://www.hepsiburada.com/mutlu-varta-inci-yigitaku-halk-bosch/akuler-c-60003762
BOT1	30	ARAC_HOPARLOR	https://www.hepsiburada.com/pioneer-sony-pioneer2-alpine-hertz-jvc-kenwood/hoparlorler-c-26090
BOT1	35	BASINCLI_YIKAMA	https://www.hepsiburada.com/yuksek-basincli-yikama-makineleri-c-13003129
BOT1	30	KATLANABILIR_BISIKLET	https://www.hepsiburada.com/katlanabilir-bisikletler-c-19233
BOT1	50	UNISEX_CANTA	https://www.hepsiburada.com/spor-cantalari-c-369686?filtreler=cinsiyet:Unisex,Erkek%E2%82%AC20%E2%82%ACC3%E2%82%AC87ocuk,K%E2%82%ACC4%E2%82%ACB1z%E2%82%AC20%E2%82%ACC3%E2%82%AC87ocuk,%E2%82%ACC3%E2%82%AC87ocuk
BOT1	30	3D_YAZICI	https://www.hepsiburada.com/3d-yazici-c-60008975
BOT1	30	KOSU_BANTLARI	https://www.hepsiburada.com/kosu-bantlari-c-19249
BOT1	25	LAZER_YAZICI	https://www.hepsiburada.com/lazer-yazicilar-c-6
BOT1	25	BULASIK_MAKINESI	https://www.hepsiburada.com/bulasik-makineleri-c-22156
BOT7	25	DERIN_DONDURUCU	https://www.hepsiburada.com/derin-dondurucular-c-22266
BOT1	25	EKRAN_KARTI	https://www.hepsiburada.com/ekran-kartlari-c-204
BOT16	25	SARJLI_SUPURGE	https://www.hepsiburada.com/sarjli-supurgeler-c-159445
BOT14	25	ROBOT_SUPURGE	https://www.hepsiburada.com/robot-supurge-c-80160033
BOT12	25	BATERI	https://www.hepsiburada.com/bateriler-c-411206
BOT10	25	MINI_MIDI_FIRIN	https://www.hepsiburada.com/mini-midi-firinlar-c-233088
BOT7	25	SABIT_DISK	https://www.hepsiburada.com/hdd-harddiskler-c-100221
BOT10	50	CADIR	https://www.hepsiburada.com/husky-quechua-thenorthface-jackwolfskin-quechuabydecathlon-andoutdoor-yds-evolite-ferrino-guntack-hannah-highpeak-loap-marmot-msr-naturehike-beargrylls/cadirlar-c-19102
BOT12	30	MEYVE_SIKACAGI	https://www.hepsiburada.com/meyve-sikacaklari-c-22020
BOT14	25	PSU	https://www.hepsiburada.com/power-supply-psu-c-1012
BOT16	25	KLIMA	https://www.hepsiburada.com/klimalar-c-17453
BOT2	25	MAMA_SANDALYE	https://www.hepsiburada.com/mama-sandalyeleri-c-301132?filtreler=fiyat:100-max
BOT2	25	STUDYO_KULAKLIK	https://www.hepsiburada.com/kulakliklar-c-405158
BOT2	30	MULTIMEDIA	https://www.hepsiburada.com/pioneer-sony-kenwood-navitech-navimex-newfron-necvox-carvocal/arac-ici-multimedya-goruntu-sistemleri-c-60001687
BOT2	40	AMINO_ASITLER	https://www.hepsiburada.com/amino-asitler-c-354033
BOT2	25	ANAKART	https://www.hepsiburada.com/anakartlar-c-152
BOT2	30	ARAC_ICI_KAMERA	https://www.hepsiburada.com/arac-ici-kameralar-c-26027
BOT2	35	MOTO_MONT	https://www.hepsiburada.com/venom-revit-dainese-alpinestars-prosev/motosiklet-montlari-c-60005651
BOT3	25	TOST_MAKINESI	https://www.hepsiburada.com/tost-makineleri-c-22014
BOT3	25	SARJ_KABLOSU	https://www.hepsiburada.com/apple-xiaomi-samsung-spigen-baseus-ugreen-belkin/telefon-kablolari-c-29010123
BOT3	25	TOST_MAKINESI	https://www.hepsiburada.com/tost-makineleri-c-22014
BOT3	25	BEBEK_YATAK	https://www.hepsiburada.com/bebek-yataklari-c-23011486
